Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,predicted cpt,predicted density,calculated cpt,calculated density,"% error, cpt","% error, density",Round,Series,Category,"kde, density","kde, cpt","kde, multivariate"
N#CNCCn1cc[n+](CO)c1.[Br-],12,0.6182795698924731,1-butyl-3-methylimidazolium,bromide,371.42,1401.67,341.57,1542.71,8.74,9.14,1,2,Imidazolium,1.7869352029870085,1.6744726717321967,2.1494228752832
CCCCCCC[n+]1ccn(CC)c1N.O=C([O-])[C@@H]1CCCN1,15,0.7486033519553073,1-butyl-3-methylimidazolium,L-prolinate,1028.09,946.5,700.69,1021.13,46.73,7.31,1,1,Imidazolium,0.14863357372658634,0.06806800681421388,1.12589931704269
Cc1ccc[n+](CCCCCCCCC(F)(F)F)c1.CC(=O)[O-],19,0.8969072164948454,N-octyl-3-methylpyridinium,acetate,979.53,953.95,603.44,1056.07,62.32,9.67,1,1,Pyridinium,0.35464673747941244,0.18074381627055092,1.1278237488676226
PCCCCCCCCCCC[n+]1ccccc1.NCCCC[C@H](N)C(=O)[O-],18,0.8220338983050848,1-butylpyridinium,L-lysinate,990.28,1049.54,860.11,1002.63,15.13,4.68,1,1,Pyridinium,1.967664078471652,0.2461474860015131,1.1492817859024778
CCCCCC(CCCC)Cn1cc[n+](CN)c1.C[C@@H](O)[C@H](N)C(=O)[O-],18,0.7362637362637363,1-butyl-3-methylimidazolium,L-threoninate,936.81,1014.39,760.15,1018.0,23.24,0.35,1,1,Imidazolium,2.168103285742215,0.07692126522934148,1.1911813834658622
FCCCCCn1cc[n+](CCCCF)c1NF.CCOS(=O)(=O)[O-],18,0.6802030456852792,1-butyl-3-methylimidazolium,ethylsulfate,1087.45,1011.53,641.26,1211.79,69.58,16.53,1,1,Imidazolium,2.6250966560804714,0.11440930940821202,1.1032544280306122
CCCC(P)CCCC[N+]1(C)CCCCC1.NCCCC[C@H](N)C(=O)[O-],16,0.8082191780821918,"N,N,N-triethyldodecan-1-aminium",L-lysinate,954.62,1050.04,824.19,1027.49,15.83,2.19,1,1,Aminium,2.0121013355292567,0.05315537701751711,1.20056738131253
CCCCn1cc[n+](C)c1NCC.C[C@@H](O)[C@H](N)C(=O)[O-],13,0.6733668341708543,1-butyl-3-methylimidazolium,L-threoninate,1040.41,966.44,632.82,1066.45,64.41,9.38,1,1,Imidazolium,0.4741950502834985,0.06766400766785398,1.095474429073453
CCCC[P+](CC)(CCCC)CC(S)CC.NCCCC[C@H](N)C(=O)[O-],16,0.675,tetrabutylphosphonium,L-lysinate,1028.81,1068.43,910.84,977.96,12.95,9.25,1,1,Phosphonium,2.9313965076970936,0.06644886689549065,1.1524457724552652
CCCC(CC)CCn1cc[n+](C)c1C(F)(F)F.O=C([O-])C(F)(F)F,18,0.6146788990825688,1-butyl-3-methylimidazolium,trifluoroacetate,1054.96,1023.65,589.93,1192.04,78.83,14.13,1,1,Imidazolium,1.1905891815811365,0.13242292639571251,1.1057003584017575
C=NC([n+]1ccn(CCCCCCC)c1)C(F)(F)F.COP(=O)([O-])OC,19,0.6118721461187214,1-butyl-3-methylimidazolium,dimethylphosphate,1048.14,1049.15,645.52,1166.17,62.37,10.03,1,1,Imidazolium,1.9365753987727896,0.10251426837907424,1.109198933478939
CCCCC(C)(CCC)CC[N+](C)(C)CC(F)(F)F.C[C@@H](O)[C@H](N)C(=O)[O-],19,0.6145833333333334,"N,N,N-triethyldodecan-1-aminium",L-threoninate,937.31,976.51,736.65,1069.04,27.24,8.66,1,1,Aminium,0.7354414776106575,0.07506535952139996,1.1786231006580774
CCCCCCC(N)[N+](C)(CC)CCCC.C[C@@H](O)[C@H](N)C(=O)[O-],16,0.6082474226804123,"N,N,N-triethyldodecan-1-aminium",L-threoninate,982.91,990.69,805.99,982.34,21.95,0.85,1,1,Aminium,0.8092835448400391,0.20187210238682396,1.1371908010354814
CCC[n+]1ccn(CC(C)C(N)(F)F)c1.CCOS(=O)(=O)[O-],15,0.7318435754189944,1-isobutyl-3-methylimidazolium,ethylsulfate,1010.43,1063.49,584.42,1237.88,72.89,14.09,1,1,Imidazolium,3.3426388920689414,0.14007049613341313,1.1524457724552652
CCCCCC[n+]1ccn(CC(C)C)c1C(F)(F)F.CCOS(=O)(=O)[O-],19,0.6118721461187214,1-butyl-3-methylimidazolium,ethylsulfate,1006.36,1061.29,645.49,1154.97,55.91,8.11,1,1,Imidazolium,3.3730184871737467,0.17469680220753195,1.1508821606106079
CCCn1cc(N=C=O)[n+](CCC)c1.CS(=O)(=O)[O-],14,0.6111111111111112,1-butyl-3-methylimidazolium,methanesulfonate,983.64,1066.62,496.28,1202.08,98.2,11.27,1,1,Imidazolium,3.1128035296634646,0.2066911985862621,1.1524457724552652
CCC[N+](C)(CCO)CCCCCCS(C)(=O)=O.CC(=O)[O-],18,0.6263736263736264,"N,N,N-triethyldodecan-1-aminium",acetate,1030.2,1058.0,723.54,1113.5,42.38,4.98,1,1,Aminium,3.0186941401688205,0.06357817426421365,1.1508821606106079
CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1.C[C@@H](O)[C@H](N)C(=O)[O-],18,0.5132743362831859,"N,N,N-triethyldodecan-1-aminium",L-threoninate,985.42,1043.23,1143.26,1005.7,13.81,3.73,1,1,Aminium,2.4429944915888164,0.2195626500657863,1.1476463077076458
CCCC(C)CCCC([n+]1ccccc1)C(F)(F)F.CCOS(=O)(=O)[O-],19,0.532967032967033,1-butylpyridinium,ethylsulfate,970.89,1057.96,677.55,1144.18,43.29,7.54,1,1,Pyridinium,3.007901587635052,0.13710268516694832,1.1508821606106079
FC[n+]1cc(F)n(CCCOF)c1.N#CN=C=[N-],13,0.6113744075829384,1-isobutyl-3-methylimidazolium,dicyanoazanide,986.13,1078.71,389.04,1276.75,153.48,15.51,1,1,Imidazolium,1.139524444901426,0.2242568132584369,1.1539709807286325
CCCCCCNCn1cc[n+](C)c1C#N.N[C@@H](CO)C(=O)[O-],16,0.5121951219512195,triethyloctylammonium,L-serinate,997.82,1091.8,707.61,1103.77,41.01,1.08,1,1,Ammonium,3.388240920160058,0.2423736911691237,1.1568997350071268
CCCC(C)c1cccc[n+]1C(CCP)C(F)(F)F.CCCCCCCCOS(=O)(=O)[O-],19,0.5394190871369294,1-ethyl-2-methylpyridinium,octyl sulfate,1014.48,1007.66,923.17,1105.62,9.89,8.86,1,1,Pyridinium,2.684373395937173,0.11367620529492845,1.140787035571317
CCCCCCC[N+](C)(C)C(P)CCCC.NCCCC[C@H](N)C(=O)[O-],16,0.5714285714285714,"N,N,N-triethyldodecan-1-aminium",L-lysinate,986.67,991.41,804.25,992.33,22.68,0.09,1,1,Aminium,0.7514436728198017,0.22730213348718364,1.1371908010354814
CCc1ccc(N=NC)c[n+]1CC(CF)C(=O)F.NCCCC[C@H](N)C(=O)[O-],18,0.5508474576271186,1-ethyl-2-methylpyridinium,L-lysinate,944.84,1030.39,667.22,1162.23,41.61,11.34,1,1,Pyridinium,2.4454888990196024,0.05249449011359302,1.1959591651415855
CCCCc1cn(C)c[n+]1CCCC(CF)C(=O)O.N#CN=C=[N-],19,0.5702127659574469,1-butyl-3-methylimidazolium,dicyanoazanide,905.81,1005.56,564.0,1109.42,60.6,9.36,1,1,Imidazolium,2.3376712237153616,0.3572407036590471,1.1862535391740918
CCCCNc1[nH]c(N)c[n+]1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,12,0.5118483412322274,1-butyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,1047.22,1041.1,556.43,1459.54,88.2,28.67,1,1,Imidazolium,2.844185632028132,0.09727189736862954,1.1080569919203382
C=S(=O)(F)c1n(C)c(NPC(C)C)c(NC)[n+]1F.O=C([O-])[C@@H]1CCCN1,18,0.5137254901960784,1-butyl-3-methylimidazolium,L-prolinate,1010.42,1044.91,620.66,1254.71,62.8,16.72,1,1,Imidazolium,2.1414796755200167,0.14007049613341313,1.1476463077076458
CCC(CC)COC(C(P)CF)C(N)[NH2+]OC.N[C@@H](CO)C(=O)[O-],17,0.5081967213114754,triethyloctylammonium,L-serinate,970.18,1034.92,689.46,1151.34,40.72,10.11,1,1,Ammonium,3.2650208089478783,0.13363448587309856,1.1459774011034027
CCCCCCCCCCn1cc[n+](S)c1N.N#C[N-]C#N,17,0.63,1-butyl-3-methylimidazolium,dicyanamide,952.72,977.27,570.41,1051.01,67.02,7.02,1,1,Imidazolium,0.8075838552139555,0.048705334313651975,1.1786231006580774
CCCCC(F)[N+](C)(C)CCOC(C)=O.N#CN=C=[N-],15,0.5178571428571429,"N,N,N-triethyldodecan-1-aminium",dicyanoazanide,975.78,975.82,510.76,1103.25,91.04,11.55,1,1,Aminium,0.6648019522154893,0.16050571709010725,1.1335017214751504
CCCC([NH3+])(F)C(CC(C)C(C)=O)C(N=N)NSC.N#CN=C=[N-],19,0.5150214592274678,1-butyl-3-methylimidazolium,dicyanoazanide,1004.41,1075.16,726.67,1117.98,38.22,3.83,1,1,Imidazolium,1.5055977800244038,0.19242995868743734,1.1539709807286325
CNc1c(F)ccc[n+]1C(OCO)C(C)(C)C.N#C[C-](C#N)C#N,17,0.524,1-butyl-3-methylimidazolium,tricyanomethane,935.93,1032.37,508.73,1151.46,83.97,10.34,1,1,Imidazolium,2.86929736748119,0.08090583779042879,1.1959591651415855
Nc1c(N=NF)ccc(N=NNO)[n+]1C(F)C(O)P.O=S(=O)([O-])C(F)(F)F,19,0.5118110236220472,1-butyl-3-methylimidazolium,trifluoromethanesulfonate,1064.83,1009.67,505.09,1587.92,110.82,36.42,1,1,Imidazolium,2.7595142545918327,0.13876218189980635,1.1032544280306122
